aaa,9951171,8784,273,407
aab,9960402,6813,364,506
aac,9552511,9305,99,284
aad,9990745,9554,291,589
aae,9807980,9056,46,132
aaf,9814109,8960,14,48
aag,9728506,7564,714,1166
aba,9895049,9038,35,90
abb,9916447,8098,11,25
abc,9782080,10714,67,190
abd,9244651,8880,93,189
abe,9933117,8229,45,69
abf,9836609,8941,38,97
abg,9834693,9404,315,556
aca,9517269,8352,333,730
acb,9698510,9549,10,26
acc,9945743,7909,5,13
acd,9863384,8213,244,362
ace,9549339,8893,36,103
acf,9877088,8222,34,56
acg,9727984,8810,117,316
ada,9575714,10428,38,133
adb,9921672,8737,288,448
adc,9974088,8120,86,214
add,9890739,7534,81,174
ade,9996867,10066,280,518
adf,9958314,8151,64,100
adg,9593524,8545,167,250
aea,9939465,9335,140,263
aeb,9995988,9713,109,237
aec,9950841,7594,64,257
aed,9943996,7956,36,104
aee,9849243,9357,10,26
aef,9795806,9949,250,631
aeg,9999230,8977,198,323
afa,9984357,8382,205,395
afb,9572072,10747,17,78
afc,9772761,9957,62,106
afd,9849521,9608,37,84
afe,9970003,7606,130,257
aff,9966600,8084,117,254
afg,9825074,10093,18,61
aga,9919192,7961,58,168
agb,9966336,8250,112,180
agc,9993369,8848,34,174
agd,9872554,8395,208,381
age,9702633,11948,95,220
agf,9663075,8631,296,458
agg,9866353,8632,254,413
baa,9956929,7816,14,53
bab,9906047,10987,7,38
bac,9679098,8931,171,322
bad,9988222,8462,8,16
bae,9995786,8660,161,229
baf,9965175,8723,137,238
bag,9977591,8342,44,145
bba,9611574,7508,102,282
bbb,9969244,8404,64,131
bbc,9892398,7974,29,73
bbd,9875387,9743,116,329
bbe,9882863,8083,75,159
bbf,9898265,8464,169,277
bbg,9876589,8174,108,237
bca,9800671,9166,304,709
bcb,9755448,8461,247,381
bcc,9988968,9612,10,25
bcd,9893860,8275,71,331
bce,9389547,9136,72,283
bcf,9893358,8805,137,261
bcg,9989897,10229,99,178
bda,9793243,10307,20,54
bdb,9514141,7137,11,37
bdc,9809763,8533,106,260
bdd,9906991,10373,210,361
bde,9789731,10768,93,181
bdf,9965330,11224,80,170
bdg,9915165,10103,182,364
bea,9989167,7803,18,41
beb,9514278,8252,102,224
bec,9861915,7439,150,257
bed,9965767,9009,101,149
bee,9809542,7056,65,100
bef,9909110,8621,108,214
beg,9996494,7725,154,288
bfa,9150560,9169,20,50
bfb,9324106,8135,91,186
bfc,9906276,9143,45,89
bfd,9978064,9011,130,284
bfe,9988142,6807,97,178
bff,9946740,8366,128,340
bfg,9808746,7474,20,35
bga,9921918,8931,105,334
bgb,9773095,7905,204,388
bgc,9951330,8479,448,648
bgd,9934853,8822,253,441
bge,9892669,8320,43,87
bgf,9678077,9832,104,171
bgg,9699753,6832,136,267
caa,9669616,11224,44,149
cab,9605027,7988,14,45
cac,9886467,8397,5,8
cad,9903150,8976,402,707
cae,9890912,7732,44,201
caf,9922337,7619,212,410
cag,9905163,8039,17,39
cba,9745239,9805,86,150
cbb,9733912,9694,290,491
cbc,9883950,9613,192,320
cbd,9872764,7899,201,300
cbe,9899280,8315,21,42
cbf,9979261,7885,373,621
cbg,9897568,8448,80,116
cca,9947337,9071,129,237
ccb,9833170,10093,121,200
ccc,9760315,8692,181,277
ccd,9615679,8935,470,820
cce,9721068,8094,6,21
ccf,9948252,9414,93,134
ccg,9831311,8238,139,304
cda,9772612,7609,271,611
cdb,9812818,8603,61,118
